#gene_id	functional_anno
SpGA2022_000109-R0	Similar to Stearoyl-[acyl-carrier-protein] 9-desaturase%2C chloroplastic (Ricinus communis)
SpGA2022_050030-R0	Similar to At5g03700: PAN domain-containing protein At5g03700 (Arabidopsis thaliana)
SpGA2022_000110-R0	Similar to 2-carboxy-D-arabinitol-1-phosphatase (Triticum aestivum)
SpGA2022_000111-R0	Protein of unknown function
SpGA2022_000112-R0	Protein of unknown function
SpGA2022_000114-R0	Protein of unknown function
SpGA2022_000115-R0	Protein of unknown function
SpGA2022_000116-R0	Protein of unknown function
SpGA2022_050031-R0	Similar to CTR1: Serine/threonine-protein kinase CTR1 (Arabidopsis thaliana)
SpGA2022_000118-R0	Protein of unknown function
SpGA2022_000119-R0	Protein of unknown function
SpGA2022_000120-R0	Protein of unknown function
SpGA2022_000121-R0	Protein of unknown function
SpGA2022_000122-R0	Protein of unknown function
SpGA2022_000123-R0	Similar to ADT3: Arogenate dehydratase 3 (Petunia hybrida)
SpGA2022_000124-R0	Protein of unknown function
SpGA2022_000125-R0	Similar to At4g22758: Uncharacterized protein At4g22758 (Arabidopsis thaliana)
SpGA2022_000126-R0	Similar to PRXIIE-2: Peroxiredoxin-2E-2%2C chloroplastic (Oryza sativa subsp. japonica)
SpGA2022_000127-R0	Similar to CSLA9: Glucomannan 4-beta-mannosyltransferase 9 (Arabidopsis thaliana)
SpGA2022_000128-R0	Similar to ddx5: Probable ATP-dependent RNA helicase ddx5 (Dictyostelium discoideum)
SpGA2022_000129-R0	Protein of unknown function
SpGA2022_000130-R0	Protein of unknown function
SpGA2022_000131-R0	Similar to AHL1: AT-hook motif nuclear-localized protein 1 (Arabidopsis thaliana)
SpGA2022_000132-R0	Protein of unknown function
SpGA2022_000133-R0	Similar to PSI1: Protein PSK SIMULATOR 1 (Arabidopsis thaliana)
SpGA2022_000134-R0	Protein of unknown function
SpGA2022_000135-R0	Similar to Zmat2: Zinc finger matrin-type protein 2 (Mus musculus)
SpGA2022_050032-R0	Similar to MTM1: Phosphatidylinositol-3-phosphatase myotubularin-1 (Arabidopsis thaliana)
SpGA2022_000137-R0	Similar to AXS2: UDP-D-apiose/UDP-D-xylose synthase 2 (Arabidopsis thaliana)
SpGA2022_000138-R0	Protein of unknown function
SpGA2022_000139-R0	Similar to At3g49140: Uncharacterized protein At3g49140 (Arabidopsis thaliana)
SpGA2022_000140-R0	Protein of unknown function
SpGA2022_000141-R0	Protein of unknown function
SpGA2022_000142-R0	Protein of unknown function
SpGA2022_050033-R0	Similar to PRR1: Two-component response regulator-like PRR1 (Oryza sativa subsp. japonica)
SpGA2022_000144-R0	Protein of unknown function
SpGA2022_000145-R0	Protein of unknown function
SpGA2022_000146-R0	Protein of unknown function
SpGA2022_000147-R0	Similar to pol: Retrovirus-related Pol polyprotein from transposon 297 (Drosophila melanogaster)
SpGA2022_050034-R0	Similar to ABCG14: ABC transporter G family member 14 (Arabidopsis thaliana)
SpGA2022_000151-R0	Protein of unknown function
SpGA2022_050035-R0	Similar to TTC1: Tetratricopeptide repeat protein 1 (Bos taurus)
SpGA2022_000152-R0	Similar to FRS5: Protein FAR1-RELATED SEQUENCE 5 (Arabidopsis thaliana)
SpGA2022_000153-R0	Protein of unknown function
SpGA2022_050036-R0	Similar to FRS5: Protein FAR1-RELATED SEQUENCE 5 (Arabidopsis thaliana)
SpGA2022_050037-R0	Similar to XEG113: Arabinosyltransferase XEG113 (Arabidopsis thaliana)
SpGA2022_000156-R0	Protein of unknown function
SpGA2022_000157-R0	Protein of unknown function
SpGA2022_000158-R0	Protein of unknown function
SpGA2022_000159-R0	Protein of unknown function
SpGA2022_000160-R0	Protein of unknown function
SpGA2022_000161-R0	Similar to SHH2: Protein SAWADEE HOMEODOMAIN HOMOLOG 2 (Arabidopsis thaliana)
SpGA2022_000162-R0	Protein of unknown function
SpGA2022_000163-R0	Protein of unknown function
SpGA2022_000164-R0	Protein of unknown function
SpGA2022_000165-R0	Protein of unknown function
SpGA2022_050038-R0	Similar to Os07g0548300: Pentatricopeptide repeat-containing protein CRP1 homolog%2C chloroplastic (Oryza sativa subsp. japonica)
SpGA2022_000167-R0	Similar to ROPGEF14: Rop guanine nucleotide exchange factor 14 (Arabidopsis thaliana)
SpGA2022_000168-R0	Similar to BAM8: Beta-amylase 8 (Arabidopsis thaliana)
SpGA2022_000169-R0	Similar to PAE8: Pectin acetylesterase 8 (Arabidopsis thaliana)
SpGA2022_000170-R0	Protein of unknown function
SpGA2022_050039-R0	Similar to CCR4-4: Carbon catabolite repressor protein 4 homolog 4 (Arabidopsis thaliana)
SpGA2022_000172-R0	Protein of unknown function
SpGA2022_000173-R0	Protein of unknown function
SpGA2022_000174-R0	Protein of unknown function
SpGA2022_000174-R1	Similar to NFD4: Protein NUCLEAR FUSION DEFECTIVE 4 (Arabidopsis thaliana)
SpGA2022_000176-R0	Protein of unknown function
SpGA2022_000177-R0	Similar to SWEET6B: Bidirectional sugar transporter SWEET6b (Oryza sativa subsp. indica)
SpGA2022_050041-R0	Similar to ERD3: Probable methyltransferase PMT21 (Arabidopsis thaliana)
SpGA2022_000179-R0	Protein of unknown function
SpGA2022_000180-R0	Similar to MOB1A: MOB kinase activator-like 1A (Arabidopsis thaliana)
SpGA2022_000181-R0	Protein of unknown function
SpGA2022_050042-R0	Similar to COLD1: GPCR-type G protein COLD1 (Oryza sativa subsp. japonica)
SpGA2022_000183-R0	Similar to BRX: Protein BREVIS RADIX (Arabidopsis thaliana)
SpGA2022_000184-R0	Protein of unknown function
SpGA2022_000185-R0	Similar to TSC10A: 3-dehydrosphinganine reductase TSC10A (Arabidopsis thaliana)
SpGA2022_000186-R0	Similar to Os04g0602400: Maltose excess protein 1-like%2C chloroplastic (Oryza sativa subsp. japonica)
SpGA2022_050043-R0	Similar to RPA1C: Replication protein A 70 kDa DNA-binding subunit C (Arabidopsis thaliana)
SpGA2022_050044-R0	Similar to 60S ribosomal protein L13-1 (Brassica napus)
SpGA2022_000189-R0	Protein of unknown function
SpGA2022_000190-R0	Similar to DUR3: Urea-proton symporter DUR3 (Oryza sativa subsp. japonica)
SpGA2022_000191-R0	Similar to DUR3: Urea-proton symporter DUR3 (Oryza sativa subsp. japonica)
SpGA2022_000192-R0	Protein of unknown function
SpGA2022_000193-R0	Protein of unknown function
SpGA2022_000194-R0	Similar to VCC: Protein VASCULATURE COMPLEXITY AND CONNECTIVITY (Arabidopsis thaliana)
SpGA2022_000195-R0	Similar to At2g16790: Gluconokinase (Arabidopsis thaliana)
SpGA2022_000196-R0	Protein of unknown function
SpGA2022_000197-R0	Protein of unknown function
SpGA2022_000197-R1	Protein of unknown function
SpGA2022_000199-R0	Similar to At1g51745: Uncharacterized protein At1g51745 (Arabidopsis thaliana)
SpGA2022_050046-R0	Similar to Os07g0195400: Phosphoacetylglucosamine mutase (Oryza sativa subsp. japonica)
SpGA2022_050047-R0	Similar to TPR2: Protein TOPLESS-RELATED PROTEIN 2 (Oryza sativa subsp. japonica)
SpGA2022_000202-R0	Protein of unknown function
SpGA2022_000203-R0	Similar to AGL62: Agamous-like MADS-box protein AGL62 (Arabidopsis thaliana)
SpGA2022_050048-R0	Similar to SCAMP4: Secretory carrier-associated membrane protein 4 (Arabidopsis thaliana)
SpGA2022_000205-R0	Protein of unknown function
SpGA2022_050049-R0	Similar to Os07g0301200: DEAD-box ATP-dependent RNA helicase 5 (Oryza sativa subsp. japonica)
SpGA2022_000207-R0	Similar to XLG3: Extra-large guanine nucleotide-binding protein 3 (Arabidopsis thaliana)
SpGA2022_000208-R0	Protein of unknown function
SpGA2022_050050-R0	Similar to At1g29880: Glycine--tRNA ligase%2C mitochondrial 1 (Arabidopsis thaliana)
SpGA2022_000210-R0	Protein of unknown function
SpGA2022_000211-R0	Protein of unknown function
SpGA2022_000212-R0	Protein of unknown function
SpGA2022_000213-R0	Protein of unknown function
SpGA2022_000214-R0	Similar to 3BETAHSD/D2: 3beta-hydroxysteroid-dehydrogenase/decarboxylase isoform 2 (Arabidopsis thaliana)
SpGA2022_000215-R0	Protein of unknown function
SpGA2022_000216-R0	Protein of unknown function
SpGA2022_000217-R0	Similar to 3BETAHSD/D2: 3beta-hydroxysteroid-dehydrogenase/decarboxylase isoform 2 (Arabidopsis thaliana)
SpGA2022_000218-R0	Similar to ABCI10: ABC transporter I family member 10 (Arabidopsis thaliana)
SpGA2022_000219-R0	Protein of unknown function
SpGA2022_050051-R0	Similar to At4g01037: Protein WHAT'S THIS FACTOR 1 homolog%2C chloroplastic (Arabidopsis thaliana)
SpGA2022_000221-R0	Protein of unknown function
SpGA2022_000222-R0	Similar to ZHD5: Zinc-finger homeodomain protein 5 (Arabidopsis thaliana)
SpGA2022_000222-R1	Similar to ZHD5: Zinc-finger homeodomain protein 5 (Arabidopsis thaliana)
SpGA2022_000223-R0	Protein of unknown function
SpGA2022_000224-R0	Similar to RL6: Protein RADIALIS-like 6 (Arabidopsis thaliana)
SpGA2022_000225-R0	Protein of unknown function
SpGA2022_050053-R0	Protein of unknown function
SpGA2022_000227-R0	Protein of unknown function
SpGA2022_000228-R0	Similar to PME11: Putative pectinesterase 11 (Arabidopsis thaliana)
SpGA2022_000229-R0	Protein of unknown function
SpGA2022_050054-R0	Similar to LAC11: Laccase-11 (Arabidopsis thaliana)
SpGA2022_050055-R0	Similar to Putative glucose-6-phosphate 1-epimerase (Cenchrus ciliaris)
SpGA2022_000232-R0	Similar to PCMP-H61: Pentatricopeptide repeat-containing protein At5g66520 (Arabidopsis thaliana)
SpGA2022_000232-R1	Similar to PCMP-H61: Pentatricopeptide repeat-containing protein At5g66520 (Arabidopsis thaliana)
SpGA2022_000233-R0	Similar to trappc4: Trafficking protein particle complex subunit 4 (Dictyostelium discoideum)
SpGA2022_050057-R0	Protein of unknown function
SpGA2022_000235-R0	Similar to ARGF: Ornithine carbamoyltransferase%2C chloroplastic (Pisum sativum)
SpGA2022_000236-R0	Similar to Os06g0194400: B3 domain-containing protein Os06g0194400 (Oryza sativa subsp. japonica)
SpGA2022_000237-R0	Similar to At3g19184: B3 domain-containing protein At3g19184 (Arabidopsis thaliana)
SpGA2022_000238-R0	Similar to At2g16365: F-box protein At2g16365 (Arabidopsis thaliana)
SpGA2022_000239-R0	Protein of unknown function
SpGA2022_000240-R0	Similar to RPL31: 50S ribosomal protein L31%2C chloroplastic (Spinacia oleracea)
SpGA2022_000241-R0	Protein of unknown function
SpGA2022_000242-R0	Similar to TCM_000336: Probable methyltransferase TCM_000336 (Theobroma cacao)
SpGA2022_050058-R0	Similar to tm-1: ToMV susceptible protein tm-1(GCR26) (Solanum lycopersicum)
SpGA2022_000244-R0	Similar to Cacybp: Calcyclin-binding protein (Mus musculus)
SpGA2022_000245-R0	Protein of unknown function
SpGA2022_000246-R0	Protein of unknown function
SpGA2022_000247-R0	Similar to UBP15: Ubiquitin C-terminal hydrolase 15 (Oryza sativa subsp. japonica)
SpGA2022_000248-R0	Similar to PCMP-E32: Putative pentatricopeptide repeat-containing protein At5g08490 (Arabidopsis thaliana)
SpGA2022_050059-R0	Similar to HEBP2: Heme-binding protein 2 (Homo sapiens)
SpGA2022_000249-R0	Protein of unknown function
SpGA2022_000251-R0	Protein of unknown function
SpGA2022_000252-R0	Protein of unknown function
SpGA2022_000253-R0	Protein of unknown function
SpGA2022_000254-R0	Protein of unknown function
SpGA2022_000255-R0	Protein of unknown function
SpGA2022_000256-R0	Similar to NOP2C: rRNA (cytosine-C(5))-methyltransferase NOP2C (Arabidopsis thaliana)
SpGA2022_000257-R0	Protein of unknown function
SpGA2022_000258-R0	Similar to PUX1: Plant UBX domain-containing protein 1 (Arabidopsis thaliana)
SpGA2022_000259-R0	Similar to At1g29970: 60S ribosomal protein L18a-like protein (Arabidopsis thaliana)
SpGA2022_000260-R0	Similar to UREG: Urease accessory protein G (Arabidopsis thaliana)
SpGA2022_000261-R0	Similar to At4g18257: Uncharacterized protein At4g18257 (Arabidopsis thaliana)
SpGA2022_000262-R0	Similar to At4g10955: GDSL esterase/lipase At4g10955 (Arabidopsis thaliana)
SpGA2022_000263-R0	Similar to UGT82A1: UDP-glycosyltransferase 82A1 (Arabidopsis thaliana)
SpGA2022_000264-R0	Protein of unknown function
SpGA2022_000265-R0	Similar to At1g27530: Ubiquitin-fold modifier-conjugating enzyme 1 (Arabidopsis thaliana)
SpGA2022_000266-R0	Protein of unknown function
SpGA2022_000267-R0	Protein of unknown function
SpGA2022_050060-R0	Similar to PCK1: Phosphoenolpyruvate carboxykinase (ATP) 1 (Urochloa panicoides)
SpGA2022_000269-R0	Similar to PCK1: Phosphoenolpyruvate carboxykinase (ATP) 1 (Arabidopsis thaliana)
SpGA2022_000270-R0	Protein of unknown function
SpGA2022_000271-R0	Similar to HEMA1: Glutamyl-tRNA reductase 1%2C chloroplastic (Hordeum vulgare)
SpGA2022_000271-R1	Similar to HEMA1: Glutamyl-tRNA reductase 1%2C chloroplastic (Hordeum vulgare)
SpGA2022_000272-R0	Protein of unknown function
SpGA2022_050062-R0	Similar to CIPK8: CBL-interacting serine/threonine-protein kinase 8 (Arabidopsis thaliana)
SpGA2022_000274-R0	Protein of unknown function
SpGA2022_000275-R0	Similar to GALM: Galactose mutarotase (Bos taurus)
SpGA2022_000276-R0	Similar to Serine hydroxymethyltransferase%2C mitochondrial (Solanum tuberosum)
SpGA2022_000277-R0	Protein of unknown function
SpGA2022_050063-R0	Similar to SIGF: RNA polymerase sigma factor sigF%2C chloroplastic (Arabidopsis thaliana)
SpGA2022_000279-R0	Protein of unknown function
SpGA2022_050064-R0	Similar to RNL: tRNA ligase 1 (Arabidopsis thaliana)
SpGA2022_000281-R0	Similar to DHNAT1: 1%2C4-dihydroxy-2-naphthoyl-CoA thioesterase 1 (Arabidopsis thaliana)
SpGA2022_050065-R0	Similar to TRB3: Telomere repeat-binding factor 3 (Arabidopsis thaliana)
SpGA2022_050066-R0	Protein of unknown function
SpGA2022_050067-R0	Similar to KIN4C: Kinesin-like protein KIN-4C (Arabidopsis thaliana)
SpGA2022_050068-R0	Protein of unknown function
SpGA2022_000286-R0	Protein of unknown function
SpGA2022_000287-R0	Similar to LARP6C: La-related protein 6C (Arabidopsis thaliana)
SpGA2022_000288-R0	Similar to At1g05700: Probable LRR receptor-like serine/threonine-protein kinase At1g05700 (Arabidopsis thaliana)
SpGA2022_000289-R0	Protein of unknown function
SpGA2022_050069-R0	Similar to At1g51810: Probable LRR receptor-like serine/threonine-protein kinase At1g51810 (Arabidopsis thaliana)
SpGA2022_000291-R0	Protein of unknown function
SpGA2022_000292-R0	Similar to At2g19230: Putative leucine-rich repeat receptor-like serine/threonine-protein kinase At2g19230 (Arabidopsis thaliana)
SpGA2022_000293-R0	Protein of unknown function
SpGA2022_000294-R0	Similar to NRPA1: DNA-directed RNA polymerase I subunit 1 (Arabidopsis thaliana)
SpGA2022_050070-R0	Similar to At2g19230: Putative leucine-rich repeat receptor-like serine/threonine-protein kinase At2g19230 (Arabidopsis thaliana)
SpGA2022_050071-R0	Similar to At2g19230: Putative leucine-rich repeat receptor-like serine/threonine-protein kinase At2g19230 (Arabidopsis thaliana)
SpGA2022_000297-R0	Similar to NRPA1: DNA-directed RNA polymerase I subunit 1 (Arabidopsis thaliana)
SpGA2022_000298-R0	Similar to NRPA1: DNA-directed RNA polymerase I subunit 1 (Arabidopsis thaliana)
SpGA2022_000299-R0	Similar to At1g05700: Probable LRR receptor-like serine/threonine-protein kinase At1g05700 (Arabidopsis thaliana)
SpGA2022_000300-R0	Protein of unknown function
SpGA2022_000301-R0	Similar to At2g19230: Putative leucine-rich repeat receptor-like serine/threonine-protein kinase At2g19230 (Arabidopsis thaliana)
SpGA2022_050072-R0	Similar to At1g51880: Probable LRR receptor-like serine/threonine-protein kinase At1g51880 (Arabidopsis thaliana)
SpGA2022_000303-R0	Similar to At3g47200: UPF0481 protein At3g47200 (Arabidopsis thaliana)
SpGA2022_000303-R1	Similar to At3g47200: UPF0481 protein At3g47200 (Arabidopsis thaliana)
SpGA2022_000304-R0	Protein of unknown function
SpGA2022_000305-R0	Similar to At1g05700: Probable LRR receptor-like serine/threonine-protein kinase At1g05700 (Arabidopsis thaliana)
SpGA2022_050074-R0	Similar to At2g19210: Putative leucine-rich repeat receptor-like protein kinase At2g19210 (Arabidopsis thaliana)
SpGA2022_000307-R0	Protein of unknown function
SpGA2022_000308-R0	Protein of unknown function
SpGA2022_000309-R0	Protein of unknown function
SpGA2022_000310-R0	Similar to At1g05700: Probable LRR receptor-like serine/threonine-protein kinase At1g05700 (Arabidopsis thaliana)
SpGA2022_000311-R0	Protein of unknown function
SpGA2022_000312-R0	Protein of unknown function
SpGA2022_000313-R0	Protein of unknown function
SpGA2022_000314-R0	Protein of unknown function
SpGA2022_000315-R0	Protein of unknown function
SpGA2022_000316-R0	Protein of unknown function
SpGA2022_000317-R0	Similar to At1g05700: Probable LRR receptor-like serine/threonine-protein kinase At1g05700 (Arabidopsis thaliana)
SpGA2022_000318-R0	Similar to At1g05700: Probable LRR receptor-like serine/threonine-protein kinase At1g05700 (Arabidopsis thaliana)
SpGA2022_000319-R0	Similar to At2g19210: Putative leucine-rich repeat receptor-like protein kinase At2g19210 (Arabidopsis thaliana)
SpGA2022_000320-R0	Protein of unknown function
SpGA2022_000321-R0	Similar to At1g05700: Probable LRR receptor-like serine/threonine-protein kinase At1g05700 (Arabidopsis thaliana)
SpGA2022_000321-R1	Similar to At1g51880: Probable LRR receptor-like serine/threonine-protein kinase At1g51880 (Arabidopsis thaliana)
